Iesniegts;Grupa;Tips;Veids;Problēma;Departaments;Apstrādē;Status
"﻿""2018-01-25 23:31:02""";Apgaismojums;Daudzdzīvokļu ēku pagalmu apgaismojums;Nedeg viena vai vairākas laternas;Jau vairākus gadus mokamies un baidāmies iet pa pagalmu jo diennakts tumšajā laikā ir tumsa iekšpagalmā. Bīstami iet jo neko neredzi un taci;Cēsu novada Komunālā nodaļa;12h 19m 15s;Noraidītie
"﻿""2018-01-26 07:01:51""";Daudzdzīvokļu namu apsaimniekošana;Ūdens apgāde un kanalizācija;;Ūdens ir ļoti kaļķains. Dienas laikā glāze paliek ar baltiem nosedumiem  ja dzer krāna ūdeni. Dzīvoju ilgu laiku Paegles ielā, tur tā nebija;Cēsu novada Komunālā nodaļa;05h 09m 55s;Noraidītie
"﻿""2018-01-26 11:19:24""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;Kāpņu telpu apgaismojums;Nedeg apgaismojums otrajā trepju telpā, 2. Stāvā;Cēsu novada Komunālā nodaļa;00h 35m 41s;Noraidītie
"﻿""2018-01-26 13:19:57""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Joprojām, akmens iela 1 nav iztukšota, suņu atkritumu tvertne. Bet atnāca paziņojums ka izdarīts... ;Cēsu novada Pašvaldības policija;01h 52m 24s;Izpildītie
"﻿""2018-01-27 15:52:59""";Būvniecība;Būvniecības noteikumu pārkāpumi;;Nekvalitatīvs jaunais segums. ;Cēsu novada Būvvalde;120h 21m 46s;Izpildītie
"﻿""2018-01-29 08:01:08""";Apgaismojums;Ielu lampas;;Ielu apgaismojums nedarbojas. Īsā laika posmā konstatēts vismaz 3 reizes.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-01-29 09:57:54""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Galvenā ceļa zīme tiko nogāzās zeme būtu vēlams uzlikt atpakal;Cēsu novada Komunālā nodaļa;06h 31m 39s;Izpildītie
"﻿""2018-01-29 13:52:51""";Apgaismojums;Ielu apgaismojums;Bojāts apgaismes ķermenis;Deg dienā;Cēsu novada Komunālā nodaļa;02h 59m 35s;Izpildītie
"﻿""2018-01-29 14:04:44""";Apgaismojums;Ielu lampas;;Gaišā dienas laikā, Akmens ielā deg apgaismojums. Šaubos vai tas ir nepieciešams. Šodien jau no 12:00 un šī nav pirmā reize. ;Cēsu novada Komunālā nodaļa;02h 46m 08s;Izpildītie
"﻿""2018-01-29 16:50:37""";Auto novietošana;Neatļauta novietošana;;Neatļauti novietots kravas auto, uzbraukts uz ietves!;Cēsu novada Pašvaldības policija;261h 17m 44s;Izpildītie
"﻿""2018-01-30 17:57:54""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;Daudzdzīvokļu namu ārtelpu apgaismojums;jau vairākas dienas nedeg ārā lampa pie daudzīvokļu mājas durvīm ;Cēsu novada Komunālā nodaļa;20h 38m 22s;Noraidītie
"﻿""2018-02-01 12:55:40""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Bojāta ceļazīme ;Cēsu novada Komunālā nodaļa;24h 12m 23s;Izpildītie
"﻿""2018-02-01 23:58:45""";Auto novietošana;Neatļauta novietošana;;"Luk šādi parkojas lieli kungi.Kuriem uz aizradīšanu ir tikai viens arguments...&quot;Vai Tev nav vienalga&quot;?";Cēsu novada Pašvaldības policija;182h 11m 08s;Izpildītie
"﻿""2018-02-02 11:49:46""";Ielas un ceļi;Ceļa segums;Nav greiderēts;Krišjāņa Valdemāra iela 3 sniega kalns traucē satiksmi;Cēsu novada Komunālā nodaļa;126h 28m 45s;Izpildītie
"﻿""2018-02-02 14:21:19""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Sveiki! Gribētu zināt kāpēc tiek tīrīta visa Lāču iela, izņemot posmu gar Lāču 11? ;Cēsu novada Komunālā nodaļa;66h 31m 59s;Izpildītie
"﻿""2018-02-04 14:17:45""";Sabiedriskā kārtība;Negadījums;;Vaļēja elektrības kaste;Cēsu novada Pašvaldības policija;213h 35m 37s;Izpildītie
"﻿""2018-02-04 16:30:35""";Vide;Koki un apstādījumi;Nolūzis vai bīstams koks;Cīrulīšu dabas takās pie jaunizveidotās takas bīstams koks, kuru katru brīdi nolūzīs un uzkritīs virsū takai. ;Cēsu novada Pašvaldības policija;88h 54m 32s;Izpildītie
"﻿""2018-02-05 13:55:20""";Apgaismojums;Ielu lampas;;Nedeg ielas lampa pie nr.9a;Cēsu novada Komunālā nodaļa;24h 39m 32s;Izpildītie
"﻿""2018-02-05 13:57:35""";Vide;Nesakopta teritorija;Nesakopts īpašums;Pulkstenis no Rīgas ielas puses rāda nepareizu laiku:) atpaliek par pusstundu.;Cēsu novada Pašvaldības policija;333h 57m 57s;Izpildītie
"﻿""2018-02-06 14:07:50""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;cela zime;Cēsu novada Komunālā nodaļa;20h 58m 47s;Izpildītie
"﻿""2018-02-06 17:51:17""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Līgatnes ielā no Mednieku līdz Marijas ielai nedeg neviena jaunā, smukā ielas lampa:);Cēsu novada Komunālā nodaļa;70h 18m 54s;Izpildītie
"﻿""2018-02-07 11:27:12""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Akmens ielas 1 atkritumu konteiners ir pārpildīts, cilvēki novieto atkritumus blakus, tos nešķiro, iespējams nepieciešama informatīva zīme. ;Cēsu novada Komunālā nodaļa;04h 31m 40s;Izpildītie
"﻿""2018-02-07 19:23:08""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;nogāzusies ceļa zīme;Cēsu novada Komunālā nodaļa;02h 19m 17s;Izpildītie
"﻿""2018-02-12 10:13:34""";Auto novietošana;Neatļauta novietošana;;Regulāri vairāki auto rindā tiek novietoti uz ietves. ;Cēsu novada Pašvaldības policija;01h 14m 22s;Izpildītie
"﻿""2018-02-12 13:52:29""";Apgaismojums;Ielu apgaismojums;Bojāts apgaismes ķermenis;Raunas iela, Vienības laukums. Deg laternas dienas laikā. ;Cēsu novada Komunālā nodaļa;04h 18m 36s;Izpildītie
"﻿""2018-02-12 16:44:36""";Sabiedriskā kārtība;Tirdzniecība;Tirdzniecība neatļautā vietā;Avārijas izeja aizsprostota;Cēsu novada Pašvaldības policija;23h 39m 52s;Izpildītie
"﻿""2018-02-13 12:12:58""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Nokritusi zīme. ;Cēsu novada Komunālā nodaļa;04h 32m 31s;Izpildītie
"﻿""2018-02-13 12:58:32""";Apgaismojums;Ielu lampas;;Sasists lukturis. ;Cēsu novada Komunālā nodaļa;21h 37m 45s;Izpildītie
"﻿""2018-02-13 14:56:37""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Tiek bez jēgas turētas iedegtas laternas.;Cēsu novada Komunālā nodaļa;00h 56m 16s;Noraidītie
"﻿""2018-02-13 15:35:23""";Apgaismojums;Ielu apgaismojums;Atvērtas tehniskās durvis;Gaujas iela kur Maxima un uz augšu pa Valnu ielu.Dienas gaisma deg gaismas :);Cēsu novada Komunālā nodaļa;01h 14m 20s;Izpildītie
"﻿""2018-02-13 16:50:46""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Sniega kaudzes uz ietves L.Katrīnas ielā. ;Cēsu novada Komunālā nodaļa;816h 54m 40s;Izpildītie
"﻿""2018-02-13 20:47:08""";Ielas un ceļi;Ceļa segums;Bedres;Liela bedre krustojuma iekšmalā;Cēsu novada Komunālā nodaļa;19h 28m 37s;Izpildītie
"﻿""2018-02-13 20:59:17""";Auto novietošana;Neatļauta novietošana;;Neatļauti novietotas a/m, kas bloķē gājēju ietvi. Īpaši vecākiem ar bērnu ratiem.;Cēsu novada Pašvaldības policija;01h 06m 24s;Izpildītie
"﻿""2018-02-15 09:07:49""";Sabiedriskā kārtība;Satiksmes noteikumu neievērošana;Agresīva braukšana (trokšņošana);Dzeltenā auto īpašnieks mani ar lamu vārdiem nolamāja, ka esmu par tuvu novietojis savu auto viņam blakus, attēls pierāda, ka tā nav! ;Cēsu novada Pašvaldības policija;00h 31m 11s;Izpildītie
"﻿""2018-02-18 19:59:10""";Auto novietošana;Neatļauta novietošana;;A/m novietotas tā, ka ejot pa ietvi ar bērnu ratiem nav iespējams izspraukties.;Cēsu novada Pašvaldības policija;10h 37m 02s;Izpildītie
"﻿""2018-02-21 07:39:22""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;pazudusi zīme ātruma ierobežojums 30 km/h;Cēsu novada Komunālā nodaļa;07h 38m 17s;Izpildītie
"﻿""2018-02-23 12:14:21""";Auto novietošana;Pamests transports;;Stāv tieši krustojumā nav iespējams izbraukt un iebraukt vai samainīties ;Cēsu novada Pašvaldības policija;00h 40m 35s;Izpildītie
"﻿""2018-02-25 15:47:21""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Spogulis pazudis, nevar redzēt vai no Dzintara ielas kāds brauc lejā.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Izpildītie
"﻿""2018-02-25 16:18:53""";Auto novietošana;Neatļauta novietošana;;Atkal auto tiek novietots uz ietves. Uzskatāmi traucējot gājējiem. ;Cēsu novada Pašvaldības policija;00h 43m 59s;Izpildītie
"﻿""2018-03-01 12:52:07""";Auto novietošana;Neatļauta novietošana;;Invalidu stavvieta novietotas 2 auto bez invalida apliecibas zimes;Cēsu novada Pašvaldības policija;00h 13m 42s;Izpildītie
"﻿""2018-03-02 12:42:58""";Auto novietošana;Neatļauta novietošana;;Mašīna jau vismaz 30minūtes stāv gandrīz krustojumā.;Cēsu novada Pašvaldības policija;02h 20m 49s;Izpildītie
"﻿""2018-03-02 13:35:52""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Nolauzta zīme. ;Cēsu novada Komunālā nodaļa;03h 12m 15s;Izpildītie
"﻿""2018-03-05 13:04:28""";Apgaismojums;Ielu lampas;;Katrīnas iela 26, atkal saplēsts lukturis. ;Cēsu novada Komunālā nodaļa;72h 59m 56s;Izpildītie
"﻿""2018-03-05 13:48:44""";Auto novietošana;Neatļauta novietošana;;Profesionaali novietots auto. Na apkaatt apiet ne paari paarkaapt.;Cēsu novada Pašvaldības policija;00h 35m 37s;Izpildītie
"﻿""2018-03-07 17:29:28""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Pilna urna;Cēsu novada Pašvaldības policija;17h 10m 05s;Izpildītie
"﻿""2018-03-09 12:35:47""";Būvniecība;Būvniecības noteikumu pārkāpumi;;Notiek būvgružu izbēršana pilsētas parkā;Cēsu novada Būvvalde;838h 59m 59s;Ilgtermiņa
"﻿""2018-03-10 10:51:19""";Auto novietošana;Neatļauta novietošana;;Vai šie Cēsu taksometri skaitās legāli? Gandrīz visi ir atteikušies no TX numurzīmēm, taču pakalpojumus veic.;Cēsu novada Pašvaldības policija;01h 20m 51s;Izpildītie
"﻿""2018-03-12 22:56:08""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Nedeg vakaros ielu apgaismojums.;Cēsu novada Komunālā nodaļa;158h 18m 20s;Izpildītie
"﻿""2018-03-13 14:52:07""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;pa nakti nedeg, bet dienas gaišajā laikā spīd gan. Un pie bojājumiem nav piedāvāts šāds variants.;Cēsu novada Komunālā nodaļa;142h 21m 41s;Izpildītie
"﻿""2018-03-14 15:25:57""";Ielas un ceļi;Ceļa segums;Bedres;veidojas milziga bedre;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-03-14 17:25:15""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Bojāta ceļa zīme;Cēsu novada Komunālā nodaļa;17h 20m 17s;Izpildītie
"﻿""2018-03-16 12:20:55""";Auto novietošana;Neatļauta novietošana;;xx-xxxx;Cēsu novada Pašvaldības policija;01h 33m 23s;Izpildītie
"﻿""2018-03-17 11:06:16""";Sabiedriskā kārtība;Bērni;Nepieskatīts bērns;Divi auto pirms gājēju pārejas samazina cilvēku redzamību. Identiska situācija Raunas ielas pārejā pie Pastariņa skolas. ;Cēsu novada Pašvaldības policija;00h 41m 03s;Izpildītie
"﻿""2018-03-17 12:09:08""";Auto novietošana;Neatļauta novietošana;;Pie mājas ir zīmes,ka atļauts novietot tikai iedzīvotājiem,līdz ka skola pasākums,mašīnas tiek nomestās kur pagadās ,arī zaļa zona!;Cēsu novada Pašvaldības policija;00h 44m 05s;Izpildītie
"﻿""2018-03-18 16:44:30""";Ielas un ceļi;Ceļa nomale;Piegružota nomale;grāvī atkritumu maisi un veci tv, kā arī liels daudzums citu atkritumu;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-03-19 15:19:54""";Apgaismojums;Ielu apgaismojums;Bojāts apgaismes ķermenis;Dienas laikā deg ielu apgaismojums;Cēsu novada Komunālā nodaļa;02h 12m 50s;Izpildītie
"﻿""2018-03-19 17:49:00""";Apgaismojums;Parka apgaismojums;Nedeg viena vai vairākas laternas;Testa zinojums;Cēsu novada Komunālā nodaļa;00h 56m 07s;Izpildītie
"﻿""2018-03-21 10:20:12""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Vai šī ceļa zīme atbilst csn prasībām? ;Cēsu novada Komunālā nodaļa;174h 36m 02s;Izpildītie
"﻿""2018-03-21 21:14:13""";Ielas un ceļi;Ceļa segums;Bedres;Esam nesaprašanā par Rīgas ielas stāvokli, un radās jautājums, vai tas tā paliks? Negaidīti, ka tikko būvēta iela jūk.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-03-22 14:48:59""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Pirms kāpnēm kas ved uz slimnīcu pie solina. ;Cēsu novada Pašvaldības policija;21h 54m 05s;Izpildītie
"﻿""2018-03-27 11:29:08""";Būvniecība;Citi gadījumi;;pietrūkst  margas dēļi. ;Cēsu novada Būvvalde;49h 02m 43s;Izpildītie
"﻿""2018-03-27 16:09:26""";Ielas un ceļi;Sezonālā uzkopšana;Lapas uz braucamās daļas;Bērzaines grausts, kuru beidzot vajadzētu sakopt ;Cēsu novada Komunālā nodaļa;43h 50m 30s;Izpildītie
"﻿""2018-03-27 17:15:54""";Vide;Nesakopta teritorija;Nesakopts īpašums;Cēsis Ata Kronvalda iela 41a, stāv vaļēja sabrukusi aka pilna ar ūdeni. ;Cēsu novada Pašvaldības policija;189h 04m 01s;Izpildītie
"﻿""2018-03-27 17:18:14""";Ielas un ceļi;Ceļa segums;Bedres; Vaives iela pagriežoties no Lapsu ielas ļoti slikts segums ar lielām bedrēm.;Cēsu novada Komunālā nodaļa;24h 20m 05s;Izpildītie
"﻿""2018-03-29 12:32:04""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Pazudis spogulis, kas rāda pa Dzintara ielu braucošās mašīnas. Nepārredzams krustojums!;Cēsu novada Komunālā nodaļa;333h 26m 34s;Izpildītie
"﻿""2018-03-29 17:46:45""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Pirtsupītes grava, daudz atkritumu visos krūmos. Varam savākt paši, ja kāds atbrauc pēc maisiem otrdien ;Cēsu novada Pašvaldības policija;838h 59m 59s;Ilgtermiņa
"﻿""2018-03-29 18:17:56""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu namu aprīkojums;Aprīkojuma bojājumi (Logi, durvis,...);Balkonam nokritusi karnīze ;Cēsu novada Komunālā nodaļa;139h 47m 18s;Noraidītie
"﻿""2018-03-30 13:32:09""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Ietve kļuvusi par ceļa zīmju noliktavu. Ja pagaidu ceļa zīmes vairs nav nepieciešamas, tās jāved prom, citādi rodas divdomīgas situācijas.;Cēsu novada Komunālā nodaļa;99h 34m 04s;Izpildītie
"﻿""2018-03-30 19:14:52""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Šodien slikti tīrās ietves vecpilsētā...;Cēsu novada Komunālā nodaļa;85h 35m 07s;Izpildītie
"﻿""2018-03-31 10:53:30""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Piedodiet, bet tas jau vairs pat nav smieklīgi! Uz Mazās Katrīnas ielas dzīvojam 4 nodokļu maksātāji, varbūt varētu arī mūsu ielu notīrīt?;Cēsu novada Komunālā nodaļa;00h 59m 37s;Izpildītie
"﻿""2018-04-03 18:17:18""";ŪK maģistrālie tīkli;Lietus ūdens kanalizācija;;Labdien, gribēju vērst uzmanību, ka noteka ļoti aizbirusi. Ja būs liels notekūdeņu daudzums, visdrīzāk izskalos nogāzi, nevis smuki aiztecēs;Cēsu novada Komunālā nodaļa;48h 30m 54s;Izpildītie
"﻿""2018-04-04 12:40:54""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;Dubļaina iela no smagas tehnikas!!;Cēsu novada Komunālā nodaļa;19h 27m 48s;Izpildītie
"﻿""2018-04-05 18:58:51""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;;Viens maija parka batuts pilns ar ūdeni! otram viss ok.;Cēsu novada Komunālā nodaļa;17h 54m 43s;Izpildītie
"﻿""2018-04-06 16:35:28""";Sabiedriskā kārtība;Negadījums;;Likās, ka esmu dzīvs :) Šito ne pirmo reizi dod Cēsu slimnīcā! Veiksmi! ;Cēsu novada Pašvaldības policija;00h 03m 53s;Izpildītie
"﻿""2018-04-07 18:06:35""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;Kāpņu telpu apgaismojums;Maija parka bērnu laukumā salūzušas šūpoles.;Cēsu novada Komunālā nodaļa;68h 54m 44s;Izpildītie
"﻿""2018-04-07 19:37:34""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrītas smiltis no braucamās daļas;Maija parkā viens no batutiem ir bojāts un batuta bedre ir pilna ar ūdeni. Un šupoles kuras ir domātas maziem bērniem arī salaustas.;Cēsu novada Komunālā nodaļa;110h 18m 12s;Izpildītie
"﻿""2018-04-08 13:07:01""";Ielas un ceļi;Ceļa segums;Bedres;Rotaļlaukums-nevar ar ratiem nobraukt no Maija parka.;Cēsu novada Komunālā nodaļa;50h 03m 37s;Izpildītie
"﻿""2018-04-08 17:53:57""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;;Ceļa zīme atkārtoti patvaļīgi pārvietota vai tomēr ir lieka un to nepieciešams aizvest?;Cēsu novada Komunālā nodaļa;44h 51m 48s;Izpildītie
"﻿""2018-04-09 10:18:34""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu namu aprīkojums;;Vecas ceļazīmes staba atliekas aiz kuras var aizķerties vai kā citādi savainoties. Pirms gājēju pārejas pie SuperNetto veikala;Cēsu novada Komunālā nodaļa;28h 34m 18s;Izpildītie
"﻿""2018-04-09 16:13:03""";Vide;Nesakopta teritorija;Nesakopts īpašums;Dziesmukalnā gadiem netiek pļauta zāle un kopta teritorija. Atkritumu un kūlas kalni! ;Cēsu novada Pašvaldības policija;22h 35m 46s;Noraidītie
"﻿""2018-04-10 12:30:28""";Auto novietošana;Neatļauta novietošana;;Mašīna novietota priekšā durvīm. Tas notiek regulāri ;Cēsu novada Pašvaldības policija;00h 15m 04s;Izpildītie
"﻿""2018-04-13 11:49:27""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrītas smiltis no braucamās daļas;Labdien!Kā katru pavasari gaidam  lietavas,kuras noskalos ielu smiltis.Varbūt varētu kaut kad šo tradīciju lauzt.Valmiera ir labs piemērs.;Cēsu novada Komunālā nodaļa;01h 20m 18s;Izpildītie
"﻿""2018-04-14 07:20:50""";Ielas un ceļi;Ceļa segums;Bedres;Nepieciešams un vēlams nogreiderēt Egļu un Priedes ielas. ;Cēsu novada Komunālā nodaļa;51h 16m 57s;Izpildītie
"﻿""2018-04-14 07:26:31""";Ielas un ceļi;Ceļa segums;Bedres;Gaujas ielā, netālu no Pētera ielas tika veikti komunikāciju remontdarbi. palikusi bedre, nav uzstādīta veļa zīme, ka ir bedre.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-04-14 07:31:19""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Ļoti šauras a/m stāvvietas pilsētā. Tiek bojātas a/m. Veicot jaunos krāsojumus izvērtēt platāku stāvvietu.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-04-14 07:36:26""";Ielas un ceļi;Ceļa segums;Bedres;Bērzaines ielas ir avārijas stāvoklī, nepieciešams veikt ielas rekonstrukciju.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-04-14 12:29:35""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;"Zem &quot;aizliegts apstāties un stāvēt &quot; agrāk bija zīme par ceļa dalījumu joslās. Viņa ir apzināti noņemta vai pazudusi?";Cēsu novada Komunālā nodaļa;46h 27m 58s;Izpildītie
"﻿""2018-04-15 18:54:11""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Labvakar!Uz mūsu ielas nav neviena konteinera izkārnījumu izmešanai,ja ierīkotu konteineru tad mudinātu saimniekus savākt aiz savien dzīvnie;Cēsu novada Komunālā nodaļa;16h 08m 21s;Izpildītie
"﻿""2018-04-15 23:10:04""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Labvakar!Vai ir iespējams uzstādīt suņu izkārnījumu konteineru?Esmu no Ata Kronvalda ielas 31,te ir daudz suņu,bet atkritumus nevāc neviens.;Cēsu novada Komunālā nodaļa;12h 22m 37s;Izpildītie
"﻿""2018-04-16 08:45:00""";Sabiedriskā kārtība;Dzīvnieki;;Pāris dienas jau kā redzēts šis suņuks klīstam.;Cēsu novada Pašvaldības policija;02h 24m 45s;Izpildītie
"﻿""2018-04-16 08:50:45""";Sabiedriskā kārtība;Dzīvnieki;;nākamais ;Cēsu novada Pašvaldības policija;02h 38m 11s;Izpildītie
"﻿""2018-04-16 08:50:45""";Sabiedriskā kārtība;Dzīvnieki;;nākamais ;Cēsu novada Pašvaldības policija;02h 38m 04s;Izpildītie
"﻿""2018-04-19 08:53:21""";Auto novietošana;Neatļauta novietošana;;Katru dienu mašīnas tiek novietotas tā ka brīžiem nav iespējams pabraukt garām-apgrutina piekļušanu ZAAO,NMP,VUGD dienestiem.;Cēsu novada Pašvaldības policija;01h 30m 01s;Izpildītie
"﻿""2018-04-19 18:42:47""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Atkritumu konteineri;Labdien, Maija parkā aiz skatuvītes no veloparciņa puses vaļēja elektrības (vai kaut kāda tamlīdzīga:) kaste.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-04-20 08:38:49""";Ielas un ceļi;Ceļa segums;Bedres;kad sāksies remonts Cīrulīšos?;Cēsu novada Komunālā nodaļa;02h 38m 20s;Izpildītie
"﻿""2018-04-25 18:44:44""";Ielas un ceļi;Ceļa segums;Bedres;Raina ielas krustojums ar Zvirbulu ielu. Pa Raina ielu braucot gar Dubinska d. lidz Maxima X. BEIDZOT salabojat!! Kapec man japles auto???;Cēsu novada Komunālā nodaļa;22h 29m 54s;Izpildītie
"﻿""2018-04-27 09:10:13""";Auto novietošana;Neatļauta novietošana;;parkošanās zālienā;Cēsu novada Pašvaldības policija;00h 52m 12s;Izpildītie
"﻿""2018-04-27 09:15:19""";Auto novietošana;Neatļauta novietošana;;parkošanās zālienā ;Cēsu novada Pašvaldības policija;00h 44m 51s;Izpildītie
"﻿""2018-04-27 12:37:23""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu namu aprīkojums;Aprīkojuma bojājumi (Logi, durvis,...);Saplīsuši batuta stiprinājumi Maija parkā. Liekas, dažu stiprinājumu arī trūkst. ;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-04-27 17:42:58""";Sabiedriskā kārtība;Atkritumi;Izveidota nelegāla izgāztuve;aiz garāžu kooperatīva kalnmuižas virzienā;Cēsu novada Pašvaldības policija;119h 12m 49s;Izpildītie
