Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
20/07/2022 6:35:03 PM,"468","24.1","49","1021"
20/07/2022 6:40:03 PM,"443","24.1","49","1021"
20/07/2022 6:45:03 PM,"448","24.1","49","1021"
20/07/2022 6:50:03 PM,"457","24.1","49","1021"
20/07/2022 6:55:03 PM,"429","24.1","49","1021"
20/07/2022 7:00:03 PM,"458","24.1","49","1021"
20/07/2022 7:05:03 PM,"515","24.1","49","1021"
20/07/2022 7:10:03 PM,"534","24.1","49","1021"
20/07/2022 7:15:03 PM,"578","24.1","49","1021"
20/07/2022 7:20:03 PM,"602","24.1","49","1021"
20/07/2022 7:25:03 PM,"598","24.1","48","1021"
20/07/2022 7:30:03 PM,"562","24.0","48","1021"
20/07/2022 7:35:03 PM,"529","24.0","48","1021"
20/07/2022 7:40:03 PM,"561","24.0","48","1021"
20/07/2022 7:45:03 PM,"516","23.9","48","1021"
20/07/2022 7:50:03 PM,"528","23.9","48","1021"
20/07/2022 7:55:03 PM,"532","23.8","49","1021"
20/07/2022 8:00:03 PM,"513","23.8","49","1021"
20/07/2022 8:05:03 PM,"494","23.8","49","1021"
20/07/2022 8:10:03 PM,"523","23.8","49","1021"
20/07/2022 8:15:03 PM,"509","23.8","49","1021"
20/07/2022 8:20:03 PM,"500","23.7","49","1020"
20/07/2022 8:25:03 PM,"501","23.7","50","1021"
20/07/2022 8:30:03 PM,"505","24.0","50","1021"
20/07/2022 8:35:03 PM,"685","23.6","54","1019"
20/07/2022 8:40:03 PM,"626","24.7","52","1019"
20/07/2022 8:45:03 PM,"746","24.9","53","1019"
20/07/2022 8:50:02 PM,"837","25.0","53","1019"
20/07/2022 8:55:03 PM,"750","25.0","52","1019"
20/07/2022 9:00:02 PM,"779","27.3","53","1019"
20/07/2022 9:05:02 PM,"424","26.5","44","1021"
20/07/2022 9:10:02 PM,"519","25.0","48","1020"
20/07/2022 9:15:02 PM,"529","24.7","48","1020"
20/07/2022 9:20:02 PM,"539","24.5","48","1020"
20/07/2022 9:25:02 PM,"551","24.4","48","1020"
20/07/2022 9:30:02 PM,"571","24.3","49","1020"
20/07/2022 9:35:02 PM,"595","24.2","49","1020"
20/07/2022 9:40:02 PM,"614","24.2","49","1020"
20/07/2022 9:45:02 PM,"606","24.1","49","1020"
20/07/2022 9:50:02 PM,"585","24.0","50","1020"
20/07/2022 9:55:02 PM,"574","24.0","50","1020"
20/07/2022 10:00:02 PM,"586","24.0","50","1020"
20/07/2022 10:05:02 PM,"592","23.9","50","1020"
20/07/2022 10:10:02 PM,"576","23.9","51","1020"
20/07/2022 10:15:02 PM,"555","23.9","51","1020"
20/07/2022 10:20:02 PM,"549","23.9","51","1020"
20/07/2022 10:25:02 PM,"512","23.8","51","1020"
20/07/2022 10:30:02 PM,"524","23.8","52","1020"
20/07/2022 10:35:02 PM,"647","24.4","53","1019"
20/07/2022 10:40:02 PM,"545","24.4","52","1019"
20/07/2022 10:45:02 PM,"531","24.4","52","1019"
20/07/2022 10:50:02 PM,"553","24.4","52","1019"
20/07/2022 10:55:02 PM,"559","24.4","52","1019"
20/07/2022 11:00:02 PM,"576","24.4","53","1019"
20/07/2022 11:05:02 PM,"622","24.4","53","1019"
20/07/2022 11:10:02 PM,"645","24.4","53","1019"
20/07/2022 11:15:02 PM,"677","24.4","54","1019"
20/07/2022 11:20:02 PM,"721","24.4","54","1019"
20/07/2022 11:25:02 PM,"735","24.4","54","1019"
20/07/2022 11:30:02 PM,"760","24.5","55","1019"
20/07/2022 11:35:02 PM,"776","24.5","55","1019"
20/07/2022 11:40:02 PM,"846","24.5","55","1019"
20/07/2022 11:45:02 PM,"879","24.5","55","1019"
20/07/2022 11:50:02 PM,"906","24.5","55","1019"
20/07/2022 11:55:02 PM,"956","24.4","55","1019"
21/07/2022 12:00:02 AM,"981","24.4","55","1019"
21/07/2022 12:05:02 AM,"1017","24.5","55","1019"
21/07/2022 12:10:02 AM,"1058","24.4","55","1019"
21/07/2022 12:15:02 AM,"1078","24.4","55","1019"
21/07/2022 12:20:02 AM,"1121","24.5","55","1019"
21/07/2022 12:25:02 AM,"1119","24.4","55","1019"
21/07/2022 12:30:02 AM,"1164","24.4","55","1019"
21/07/2022 12:35:02 AM,"1194","24.5","55","1019"
21/07/2022 12:40:02 AM,"1211","24.5","55","1019"
21/07/2022 12:45:02 AM,"1227","24.4","55","1019"
21/07/2022 12:50:02 AM,"1274","24.5","55","1019"
21/07/2022 12:55:02 AM,"1301","24.4","55","1019"
21/07/2022 1:00:02 AM,"1299","24.4","55","1019"
21/07/2022 1:05:02 AM,"1360","24.5","55","1019"
21/07/2022 1:10:02 AM,"1366","24.4","55","1019"
21/07/2022 1:15:02 AM,"1407","24.4","55","1019"
21/07/2022 1:20:02 AM,"1391","24.5","56","1019"
21/07/2022 1:25:02 AM,"1412","24.5","56","1019"
21/07/2022 1:30:02 AM,"1445","24.5","56","1019"
21/07/2022 1:35:02 AM,"1465","24.5","56","1019"
21/07/2022 1:40:02 AM,"1496","24.5","56","1019"
21/07/2022 1:45:02 AM,"1486","24.5","56","1019"
21/07/2022 1:50:02 AM,"1484","24.5","56","1019"
21/07/2022 1:55:02 AM,"1509","24.5","56","1019"
21/07/2022 2:00:02 AM,"1520","24.5","56","1019"
21/07/2022 2:05:02 AM,"1539","24.5","56","1019"
21/07/2022 2:10:02 AM,"1505","24.6","56","1019"
21/07/2022 2:15:02 AM,"1509","24.6","56","1019"
21/07/2022 2:20:02 AM,"1376","24.5","56","1019"
21/07/2022 2:25:02 AM,"1406","24.5","56","1019"
21/07/2022 2:30:02 AM,"1482","24.5","56","1019"
21/07/2022 2:35:02 AM,"1452","24.5","56","1019"
21/07/2022 2:40:02 AM,"1387","24.6","56","1019"
21/07/2022 2:45:02 AM,"1397","24.6","56","1019"
21/07/2022 2:50:02 AM,"1396","24.6","56","1019"
21/07/2022 2:55:02 AM,"1379","24.5","56","1018"
21/07/2022 3:00:02 AM,"1383","24.5","56","1018"
21/07/2022 3:05:02 AM,"1380","24.6","56","1019"
21/07/2022 3:10:02 AM,"1362","24.5","56","1018"
21/07/2022 3:15:02 AM,"1375","24.5","56","1018"
21/07/2022 3:20:02 AM,"1321","24.6","56","1018"
21/07/2022 3:25:02 AM,"1323","24.6","56","1018"
21/07/2022 3:30:02 AM,"1322","24.6","56","1018"
21/07/2022 3:35:02 AM,"1307","24.6","56","1018"
21/07/2022 3:40:02 AM,"1265","24.6","56","1018"
21/07/2022 3:45:02 AM,"1256","24.6","56","1018"
21/07/2022 3:50:02 AM,"1253","24.6","56","1018"
21/07/2022 3:55:02 AM,"1236","24.6","56","1019"
21/07/2022 4:00:02 AM,"1235","24.6","56","1018"
21/07/2022 4:05:02 AM,"1274","24.6","56","1018"
21/07/2022 4:10:02 AM,"1286","24.6","56","1019"
21/07/2022 4:15:02 AM,"1267","24.6","56","1019"
21/07/2022 4:20:02 AM,"1335","24.6","57","1019"
21/07/2022 4:25:02 AM,"1283","24.6","57","1019"
21/07/2022 4:30:02 AM,"1327","24.6","57","1018"
21/07/2022 4:35:02 AM,"1303","24.6","57","1018"
21/07/2022 4:40:02 AM,"1288","24.6","57","1018"
21/07/2022 4:45:02 AM,"1301","24.6","57","1018"
21/07/2022 4:50:02 AM,"1291","24.6","57","1018"
21/07/2022 4:55:02 AM,"1260","24.6","57","1018"
21/07/2022 5:00:02 AM,"1235","24.6","57","1018"
21/07/2022 5:05:02 AM,"1219","24.6","57","1018"
21/07/2022 5:10:02 AM,"1193","24.6","57","1018"
21/07/2022 5:15:02 AM,"1227","24.6","57","1018"
21/07/2022 5:20:02 AM,"1214","24.6","57","1018"
21/07/2022 5:25:02 AM,"1218","24.6","57","1018"
21/07/2022 5:30:02 AM,"1185","24.6","57","1018"
21/07/2022 5:35:02 AM,"1245","24.6","57","1018"
21/07/2022 5:40:02 AM,"1236","24.6","57","1018"
21/07/2022 5:45:02 AM,"1195","24.6","57","1018"
21/07/2022 5:50:02 AM,"1229","24.6","57","1018"
21/07/2022 5:55:02 AM,"1220","24.6","57","1018"
21/07/2022 6:00:02 AM,"1190","24.6","57","1018"
21/07/2022 6:05:02 AM,"1184","24.6","57","1018"
21/07/2022 6:10:02 AM,"1277","24.6","57","1018"
21/07/2022 6:15:02 AM,"1233","24.7","57","1018"
21/07/2022 6:20:02 AM,"1190","24.6","57","1018"
21/07/2022 6:25:02 AM,"1214","24.7","57","1018"
21/07/2022 6:30:02 AM,"1241","24.7","57","1018"
21/07/2022 6:35:02 AM,"1215","24.7","57","1018"
21/07/2022 6:40:02 AM,"1220","24.6","57","1018"
21/07/2022 6:45:02 AM,"1245","24.6","57","1018"
21/07/2022 6:50:02 AM,"1194","24.6","57","1018"
21/07/2022 6:55:02 AM,"1208","24.7","57","1018"
21/07/2022 7:00:02 AM,"1250","24.7","57","1018"
21/07/2022 7:05:02 AM,"1282","24.7","57","1019"
21/07/2022 7:10:02 AM,"1282","24.7","57","1019"
21/07/2022 7:15:02 AM,"1333","24.7","57","1018"
21/07/2022 7:20:02 AM,"1314","24.7","57","1018"
21/07/2022 7:25:02 AM,"1342","24.7","58","1019"
21/07/2022 7:30:02 AM,"1385","24.7","58","1018"
21/07/2022 7:35:02 AM,"1435","24.7","58","1018"
21/07/2022 7:40:02 AM,"1473","24.7","58","1019"
21/07/2022 7:45:02 AM,"1519","24.7","58","1018"
21/07/2022 7:50:02 AM,"1515","24.7","58","1019"
21/07/2022 7:55:02 AM,"1558","24.7","58","1019"
21/07/2022 8:00:02 AM,"1576","24.7","58","1019"
21/07/2022 8:05:02 AM,"1495","24.7","58","1018"
21/07/2022 8:10:01 AM,"1371","24.7","58","1018"
21/07/2022 8:15:01 AM,"1236","24.7","58","1018"
21/07/2022 8:20:01 AM,"1028","24.6","58","1018"
21/07/2022 8:25:02 AM,"943","24.6","59","1018"
21/07/2022 8:30:02 AM,"623","24.3","59","1018"
21/07/2022 8:35:02 AM,"551","24.2","59","1018"
21/07/2022 8:40:02 AM,"597","24.2","59","1018"
21/07/2022 8:45:01 AM,"639","24.3","59","1018"
21/07/2022 8:50:01 AM,"641","24.4","60","1018"
21/07/2022 8:55:01 AM,"685","24.4","59","1018"
21/07/2022 9:00:01 AM,"648","24.4","59","1018"
21/07/2022 9:05:02 AM,"644","24.4","59","1018"
21/07/2022 9:10:02 AM,"639","24.4","59","1018"
21/07/2022 9:15:02 AM,"463","24.6","56","1020"
21/07/2022 9:20:02 AM,"530","24.2","57","1019"
21/07/2022 9:25:02 AM,"502","23.9","57","1020"
21/07/2022 9:30:02 AM,"493","23.7","58","1019"
21/07/2022 9:35:02 AM,"494","23.6","58","1019"
21/07/2022 9:40:02 AM,"497","23.6","58","1019"
21/07/2022 9:45:02 AM,"636","23.5","59","1019"
21/07/2022 9:50:02 AM,"740","23.5","59","1019"
21/07/2022 9:55:02 AM,"726","23.5","60","1019"
21/07/2022 10:00:02 AM,"628","23.5","59","1019"
21/07/2022 10:05:02 AM,"646","23.5","59","1019"
21/07/2022 10:10:02 AM,"684","23.5","60","1019"
21/07/2022 10:15:02 AM,"682","23.5","60","1019"
21/07/2022 10:20:02 AM,"652","23.5","59","1019"
21/07/2022 10:25:02 AM,"679","23.5","59","1019"
21/07/2022 10:30:02 AM,"709","23.6","59","1019"
21/07/2022 10:35:02 AM,"696","23.6","59","1020"
21/07/2022 10:40:02 AM,"718","23.6","59","1019"
21/07/2022 10:45:02 AM,"705","23.6","59","1019"
21/07/2022 10:50:02 AM,"747","23.7","59","1019"
21/07/2022 10:55:02 AM,"753","23.7","59","1019"
21/07/2022 11:00:02 AM,"739","23.7","59","1019"
21/07/2022 11:05:02 AM,"731","23.7","58","1019"
21/07/2022 11:10:02 AM,"737","23.7","58","1019"
21/07/2022 11:15:02 AM,"732","23.7","58","1019"
21/07/2022 11:20:02 AM,"676","23.7","58","1019"
21/07/2022 11:25:02 AM,"643","23.7","57","1019"
21/07/2022 11:30:02 AM,"617","23.7","57","1019"
21/07/2022 11:35:02 AM,"631","23.7","57","1019"
21/07/2022 11:40:02 AM,"634","23.7","56","1019"
21/07/2022 11:45:02 AM,"646","23.7","56","1019"
21/07/2022 11:50:02 AM,"658","23.7","56","1019"
21/07/2022 11:55:02 AM,"641","23.6","57","1019"
21/07/2022 12:00:02 PM,"629","23.6","57","1019"
21/07/2022 12:05:02 PM,"605","23.7","57","1019"
21/07/2022 12:10:02 PM,"623","23.6","57","1019"
21/07/2022 12:15:02 PM,"695","23.7","57","1019"
21/07/2022 12:20:02 PM,"708","23.7","57","1019"
21/07/2022 12:25:02 PM,"723","23.7","57","1019"
21/07/2022 12:30:02 PM,"728","23.8","57","1019"
21/07/2022 12:35:02 PM,"781","23.8","57","1019"
21/07/2022 12:40:02 PM,"754","23.8","57","1019"
21/07/2022 12:45:02 PM,"780","23.8","56","1019"
21/07/2022 12:50:02 PM,"810","23.8","56","1019"
21/07/2022 12:55:02 PM,"794","23.9","56","1019"
21/07/2022 1:00:02 PM,"825","23.9","56","1019"
21/07/2022 1:05:02 PM,"825","23.9","56","1019"
21/07/2022 1:10:02 PM,"848","23.9","56","1019"
21/07/2022 1:15:02 PM,"844","23.9","56","1019"
21/07/2022 1:20:02 PM,"833","23.9","55","1019"
21/07/2022 1:25:02 PM,"848","23.9","55","1019"
21/07/2022 1:30:02 PM,"876","24.0","55","1019"
21/07/2022 1:35:02 PM,"836","24.0","55","1019"
21/07/2022 1:40:02 PM,"885","24.0","55","1019"
21/07/2022 1:45:02 PM,"863","24.0","55","1019"
21/07/2022 1:50:02 PM,"900","24.0","55","1019"
21/07/2022 1:55:02 PM,"883","24.0","55","1019"
21/07/2022 2:00:02 PM,"893","24.0","54","1018"
21/07/2022 2:05:02 PM,"898","24.1","54","1018"
21/07/2022 2:10:02 PM,"901","24.0","54","1019"
21/07/2022 2:15:02 PM,"896","24.1","54","1019"
21/07/2022 2:20:02 PM,"891","24.1","54","1018"
21/07/2022 2:25:02 PM,"895","24.1","54","1018"
21/07/2022 2:30:02 PM,"893","24.1","54","1018"
21/07/2022 2:35:02 PM,"904","24.1","54","1018"
21/07/2022 2:40:02 PM,"965","24.1","54","1018"
21/07/2022 2:45:02 PM,"867","24.1","54","1018"
21/07/2022 2:50:02 PM,"808","24.1","53","1018"
21/07/2022 2:55:02 PM,"727","24.1","53","1018"
21/07/2022 3:00:02 PM,"689","24.1","53","1018"
21/07/2022 3:05:02 PM,"696","24.1","53","1018"
21/07/2022 3:10:02 PM,"696","24.2","52","1018"
21/07/2022 3:15:02 PM,"709","24.2","52","1018"
21/07/2022 3:20:02 PM,"719","24.2","53","1018"
21/07/2022 3:25:02 PM,"714","24.2","53","1018"
21/07/2022 3:30:02 PM,"710","24.2","52","1018"
21/07/2022 3:35:02 PM,"613","24.3","52","1018"
21/07/2022 3:40:02 PM,"546","24.4","51","1018"
21/07/2022 3:45:02 PM,"562","24.5","51","1018"
21/07/2022 3:50:02 PM,"476","24.5","50","1018"
21/07/2022 3:55:02 PM,"526","24.6","50","1018"
21/07/2022 4:00:02 PM,"534","24.7","50","1018"
21/07/2022 4:05:02 PM,"575","24.7","51","1018"
21/07/2022 4:10:02 PM,"1112","26.2","54","1018"
21/07/2022 4:15:02 PM,"1130","27.5","53","1018"
21/07/2022 4:20:02 PM,"762","28.2","49","1016"
21/07/2022 4:25:02 PM,"759","28.8","48","1016"
21/07/2022 4:30:02 PM,"508","29.3","44","1016"
21/07/2022 4:35:02 PM,"483","29.8","44","1016"
21/07/2022 4:40:02 PM,"534","30.0","47","1016"
21/07/2022 4:45:02 PM,"516","30.4","47","1017"
21/07/2022 4:50:02 PM,"545","30.8","46","1016"
21/07/2022 4:55:02 PM,"571","31.1","47","1017"
21/07/2022 5:00:02 PM,"512","31.3","47","1017"
21/07/2022 5:05:02 PM,"573","31.5","48","1017"
21/07/2022 5:10:02 PM,"591","31.6","47","1016"
21/07/2022 5:15:02 PM,"474","31.7","42","1016"
21/07/2022 5:20:02 PM,"458","31.8","42","1013"
21/07/2022 5:25:02 PM,"468","32.0","40","1013"
21/07/2022 5:30:02 PM,"473","32.3","40","1010"
21/07/2022 5:35:01 PM,"429","32.3","39","1011"
21/07/2022 5:40:01 PM,"515","32.1","39","1010"
21/07/2022 5:45:01 PM,"509","29.4","42","1010"
21/07/2022 5:50:01 PM,"519","27.8","44","1010"
21/07/2022 5:55:01 PM,"577","26.9","46","1010"
21/07/2022 6:00:01 PM,"534","26.2","47","1010"
21/07/2022 6:05:01 PM,"520","25.8","48","1010"
21/07/2022 6:10:01 PM,"510","25.4","49","1010"
21/07/2022 6:15:01 PM,"537","25.1","50","1010"
21/07/2022 6:20:01 PM,"512","24.8","51","1010"
21/07/2022 6:25:01 PM,"499","25.0","56","1010"
21/07/2022 6:30:01 PM,"430","27.6","49","1010"
21/07/2022 6:35:01 PM,"424","29.1","46","1010"
21/07/2022 6:40:01 PM,"432","30.0","45","1010"
21/07/2022 6:45:01 PM,"605","30.7","45","1010"
21/07/2022 6:50:01 PM,"549","31.4","45","1013"
21/07/2022 6:55:01 PM,"509","31.5","45","1014"
21/07/2022 7:00:01 PM,"466","31.9","43","1014"
21/07/2022 7:05:01 PM,"710","32.0","45","1015"
21/07/2022 7:10:01 PM,"486","32.3","42","1015"
21/07/2022 7:15:02 PM,"722","32.4","45","1016"
21/07/2022 7:20:02 PM,"558","32.4","45","1015"
21/07/2022 7:25:02 PM,"527","32.2","45","1016"
21/07/2022 7:30:02 PM,"575","32.3","45","1016"
21/07/2022 7:35:02 PM,"492","32.7","44","1015"
21/07/2022 7:40:02 PM,"547","32.8","42","1015"
21/07/2022 7:45:02 PM,"493","32.9","40","1016"
21/07/2022 7:50:02 PM,"485","33.1","37","1014"
21/07/2022 7:55:02 PM,"552","32.9","38","1015"
21/07/2022 8:00:02 PM,"485","32.8","36","1015"
21/07/2022 8:05:02 PM,"603","32.8","39","1017"
21/07/2022 8:10:02 PM,"505","31.6","38","1017"
21/07/2022 8:15:02 PM,"549","28.7","40","1017"
21/07/2022 8:20:02 PM,"566","27.1","42","1017"
21/07/2022 8:25:02 PM,"564","26.3","43","1017"
21/07/2022 8:30:02 PM,"565","25.6","44","1017"
21/07/2022 8:35:02 PM,"574","25.0","45","1017"
21/07/2022 8:40:02 PM,"563","24.6","46","1016"
21/07/2022 8:45:02 PM,"587","24.2","46","1016"
21/07/2022 8:50:02 PM,"608","23.9","47","1017"
21/07/2022 8:55:02 PM,"573","23.7","47","1016"
21/07/2022 9:00:02 PM,"566","23.5","48","1016"
21/07/2022 9:05:02 PM,"573","23.3","49","1016"
21/07/2022 9:10:02 PM,"589","23.2","49","1017"
21/07/2022 9:15:02 PM,"595","23.0","49","1016"
21/07/2022 9:20:02 PM,"596","22.9","49","1016"
21/07/2022 9:25:02 PM,"610","22.8","49","1016"
21/07/2022 9:30:02 PM,"623","22.7","49","1017"
21/07/2022 9:35:02 PM,"596","22.6","49","1017"
21/07/2022 9:40:02 PM,"594","22.6","49","1016"
21/07/2022 9:45:02 PM,"606","22.5","49","1016"
21/07/2022 9:50:02 PM,"586","22.4","49","1016"
21/07/2022 9:55:02 PM,"602","22.4","50","1016"
21/07/2022 10:00:02 PM,"608","22.3","50","1017"
21/07/2022 10:05:02 PM,"613","22.3","50","1017"
21/07/2022 10:10:02 PM,"622","22.3","50","1017"
21/07/2022 10:15:02 PM,"590","22.2","50","1017"
21/07/2022 10:20:02 PM,"549","22.2","50","1017"
21/07/2022 10:25:02 PM,"549","22.2","50","1017"
21/07/2022 10:30:02 PM,"533","22.1","50","1017"
21/07/2022 10:35:02 PM,"531","22.1","50","1017"
21/07/2022 10:40:02 PM,"557","22.2","51","1017"
21/07/2022 10:45:02 PM,"617","22.4","51","1017"
21/07/2022 10:50:02 PM,"665","22.6","51","1017"
21/07/2022 10:55:02 PM,"697","22.8","51","1017"
21/07/2022 11:00:02 PM,"727","22.9","51","1017"
21/07/2022 11:05:02 PM,"743","23.0","52","1017"
21/07/2022 11:10:02 PM,"790","23.1","52","1017"
21/07/2022 11:15:02 PM,"821","23.2","52","1017"
21/07/2022 11:20:02 PM,"848","23.3","52","1017"
21/07/2022 11:25:02 PM,"852","23.4","53","1017"
21/07/2022 11:30:02 PM,"827","23.5","53","1017"
21/07/2022 11:35:02 PM,"896","23.6","53","1017"
21/07/2022 11:40:02 PM,"942","23.7","53","1017"
21/07/2022 11:45:02 PM,"980","23.8","53","1017"
21/07/2022 11:50:02 PM,"987","23.9","53","1017"
21/07/2022 11:55:02 PM,"1022","24.0","54","1017"
22/07/2022 12:00:02 AM,"1033","24.1","54","1017"
22/07/2022 12:05:02 AM,"1023","24.2","54","1017"
22/07/2022 12:10:02 AM,"1060","24.3","54","1017"
22/07/2022 12:15:02 AM,"1055","24.3","54","1017"
22/07/2022 12:20:02 AM,"533","24.4","56","1017"
22/07/2022 12:25:02 AM,"794","25.2","54","1015"
22/07/2022 12:30:02 AM,"767","25.2","54","1015"
22/07/2022 12:35:02 AM,"772","25.2","54","1015"
22/07/2022 12:40:02 AM,"780","25.2","53","1015"
22/07/2022 12:45:02 AM,"774","25.2","53","1015"
22/07/2022 12:50:02 AM,"789","25.2","53","1015"
22/07/2022 12:55:02 AM,"785","25.2","53","1015"
22/07/2022 1:00:02 AM,"782","25.2","53","1015"
22/07/2022 1:05:02 AM,"780","25.2","53","1015"
22/07/2022 1:10:02 AM,"805","25.2","53","1015"
22/07/2022 1:15:02 AM,"809","25.2","53","1015"
22/07/2022 1:20:02 AM,"807","25.2","53","1015"
22/07/2022 1:25:02 AM,"792","25.2","53","1015"
22/07/2022 1:30:02 AM,"797","25.2","53","1015"
22/07/2022 1:35:02 AM,"812","25.2","53","1015"
22/07/2022 1:40:02 AM,"811","25.2","53","1015"
22/07/2022 1:45:02 AM,"824","25.2","53","1015"
22/07/2022 1:50:02 AM,"835","25.2","53","1015"
22/07/2022 1:55:02 AM,"816","25.1","53","1015"
22/07/2022 2:00:02 AM,"825","25.2","54","1015"
22/07/2022 2:05:02 AM,"826","25.1","54","1015"
22/07/2022 2:10:02 AM,"800","25.2","54","1015"
22/07/2022 2:15:02 AM,"823","25.1","54","1015"
22/07/2022 2:20:02 AM,"762","25.1","54","1015"
22/07/2022 2:25:02 AM,"794","25.1","54","1015"
22/07/2022 2:30:02 AM,"800","25.1","54","1015"
22/07/2022 2:35:02 AM,"809","25.1","54","1015"
22/07/2022 2:40:02 AM,"784","25.1","54","1015"
22/07/2022 2:45:02 AM,"792","25.1","54","1015"
22/07/2022 2:50:02 AM,"816","25.1","54","1015"
22/07/2022 2:55:02 AM,"769","25.1","54","1015"
22/07/2022 3:00:02 AM,"779","25.1","54","1015"
22/07/2022 3:05:02 AM,"795","25.1","54","1015"
22/07/2022 3:10:02 AM,"796","25.1","54","1015"
22/07/2022 3:15:02 AM,"804","25.1","54","1015"
22/07/2022 3:20:02 AM,"824","25.1","54","1015"
22/07/2022 3:25:02 AM,"829","25.1","54","1015"
22/07/2022 3:30:02 AM,"816","25.1","54","1015"
22/07/2022 3:35:02 AM,"795","25.1","54","1015"
22/07/2022 3:40:02 AM,"791","25.1","54","1015"
22/07/2022 3:45:02 AM,"790","25.1","54","1015"
22/07/2022 3:50:02 AM,"788","25.1","54","1015"
22/07/2022 3:55:02 AM,"800","25.1","55","1015"
22/07/2022 4:00:02 AM,"792","25.1","55","1015"
22/07/2022 4:05:02 AM,"780","25.1","55","1015"
22/07/2022 4:10:02 AM,"762","25.1","55","1015"
22/07/2022 4:15:02 AM,"752","25.1","55","1015"
22/07/2022 4:20:02 AM,"786","25.1","55","1015"
22/07/2022 4:25:02 AM,"764","25.1","55","1015"
22/07/2022 4:30:02 AM,"759","25.1","55","1015"
22/07/2022 4:35:02 AM,"763","25.1","55","1015"
22/07/2022 4:40:02 AM,"772","25.1","55","1015"
22/07/2022 4:45:02 AM,"754","25.1","55","1015"
22/07/2022 4:50:01 AM,"745","25.1","55","1015"
22/07/2022 4:55:01 AM,"750","25.1","55","1015"
22/07/2022 5:00:01 AM,"742","25.1","55","1015"
22/07/2022 5:05:01 AM,"749","25.1","55","1015"
22/07/2022 5:10:01 AM,"743","25.1","55","1015"
22/07/2022 5:15:01 AM,"737","25.1","55","1015"
22/07/2022 5:20:01 AM,"780","25.1","55","1015"
22/07/2022 5:25:01 AM,"776","25.1","55","1015"
22/07/2022 5:30:01 AM,"777","25.1","55","1015"
22/07/2022 5:35:01 AM,"746","25.1","55","1015"
22/07/2022 5:40:01 AM,"758","25.1","55","1015"
22/07/2022 5:45:01 AM,"734","25.1","55","1015"
22/07/2022 5:50:01 AM,"734","25.1","55","1015"
22/07/2022 5:55:01 AM,"718","25.1","55","1015"
22/07/2022 6:00:01 AM,"714","25.1","55","1015"
22/07/2022 6:05:01 AM,"734","25.1","55","1015"
22/07/2022 6:10:01 AM,"706","25.1","55","1015"
22/07/2022 6:15:01 AM,"694","25.1","55","1015"
22/07/2022 6:20:01 AM,"672","25.1","55","1015"
22/07/2022 6:25:01 AM,"695","25.1","55","1015"
22/07/2022 6:30:01 AM,"682","25.1","55","1015"
22/07/2022 6:35:01 AM,"677","25.1","55","1015"
22/07/2022 6:40:01 AM,"680","25.1","55","1015"
22/07/2022 6:45:01 AM,"680","25.1","55","1015"
